Rider,Jersey Number,Team,Category,PCS 2026,PCS 12 Months,Wins 2026,Value,Tier,Price,PCS Rank,PCS Link
🇮🇹 S. VELASCO,67,XDS Astana Team,All-rounders,65,363,0,11.3,Poor,11,,https://www.procyclingstats.com/rider/simone-velasco
🇫🇷 J. ALAPHILIPPE,191,Tudor Pro Cycling Team,All-rounders,57,602,0,11.1,Poor,15,,https://www.procyclingstats.com/rider/julian-alaphilippe
🇳🇱 D. HOOLE,54,Decathlon CMA CGM Team,All-rounders,92,183,0,11.0,Poor,10,,https://www.procyclingstats.com/rider/daan-hoole
🇱🇻 K. NEILANDS,136,NSN Cycling Team,All-rounders,106,175,0,10.9,Poor,11,,https://www.procyclingstats.com/rider/krists-neilands
🇫🇷 B. VEISTROFFER,157,Lotto Intermarché,All-rounders,91,96,1,10.7,Poor,9,,https://www.procyclingstats.com/rider/baptiste-veistroffer
🇳🇱 F. VAN DEN BROEK,218,Team Picnic PostNL,All-rounders,85,246,0,10.7,Poor,11,,https://www.procyclingstats.com/rider/frank-van-den-broek
🇳🇴 T. TRÆEN,127,Uno-X Mobility,Climbers,46,339,0,10.5,Poor,10,,https://www.procyclingstats.com/rider/torstein-traeen
🇫🇷 C. BERTHET,182,Groupama-FDJ United,Climbers,93,200,0,10.4,Poor,11,,https://www.procyclingstats.com/rider/clement-berthet
🇫🇷 N. PRODHOMME,57,Decathlon CMA CGM Team,Climbers,66,355,0,10.3,Poor,12,,https://www.procyclingstats.com/rider/nicolas-prodhomme
🇫🇷 A. PARET PEINTRE,56,Decathlon CMA CGM Team,All-rounders,52,337,0,9.9,Poor,11,,https://www.procyclingstats.com/rider/aurelien-paret-peintre
🇳🇱 J. VAN DEN BERG,217,Team Picnic PostNL,All-rounders,59,59,0,9.8,Poor,6,,https://www.procyclingstats.com/rider/julius-van-den-berg
🇧🇪 L. VERVAEKE,98,Soudal Quick-Step,Climbers,51,121,1,9.8,Poor,7,,https://www.procyclingstats.com/rider/louis-vervaeke
🇦🇺 K. O’BRIEN,116,Team Jayco AlUla,All-rounders,42,74,0,9.7,Poor,5,,https://www.procyclingstats.com/rider/kelland-brien
🇵🇹 N. OLIVEIRA,146,Movistar Team,All-rounders,71,102,0,9.7,Poor,8,,https://www.procyclingstats.com/rider/nelson-oliveira
🇳🇱 P. EENKHOORN,92,Soudal Quick-Step,All-rounders,50,179,0,9.5,Poor,8,,https://www.procyclingstats.com/rider/pascal-eenkhoorn
🇧🇪 V. CAMPENAERTS,14,Team Visma | Lease a Bike,All-rounders,65,252,0,9.3,Poor,11,,https://www.procyclingstats.com/rider/victor-campenaerts
🇦🇹 M. HALLER,193,Tudor Pro Cycling Team,All-rounders,53,158,0,9.2,Poor,8,,https://www.procyclingstats.com/rider/marco-haller
🇫🇷 M. LOUVEL,135,NSN Cycling Team,All-rounders,49,126,0,9.2,Poor,7,,https://www.procyclingstats.com/rider/matis-louvel
🇩🇪 P. BAUHAUS,72,Bahrain Victorious,Sprinters,107,241,0,8.9,Poor,15,,https://www.procyclingstats.com/rider/phil-bauhaus
🇧🇪 L. CRAPS,154,Lotto Intermarché,All-rounders,56,130,0,8.8,Poor,8,,https://www.procyclingstats.com/rider/lars-craps
🇨🇴 E. RUBIO REYES,148,Movistar Team,Climbers,103,204,0,8.8,Poor,14,,https://www.procyclingstats.com/rider/einer-rubio
🇧🇪 R. DHONDT,215,Team Picnic PostNL,All-rounders,43,43,0,8.6,Poor,5,,https://www.procyclingstats.com/rider/robbe-dhondt
🇳🇴 A. SKAARSETH,126,Uno-X Mobility,All-rounders,60,87,1,8.6,Poor,8,,https://www.procyclingstats.com/rider/anders-skaarseth
🇫🇷 C. RUSSO,188,Groupama-FDJ United,All-rounders,59,141,0,8.4,Poor,9,,https://www.procyclingstats.com/rider/clement-russo
🇫🇷 M. LE BERRE,206,TotalEnergies,All-rounders,60,135,0,8.3,Poor,9,,https://www.procyclingstats.com/rider/mathis-le-berre
🇪🇸 A. BALDERSTONE ROUMENS,222,Caja Rural-Seguros RGA,Leaders,56,190,0,8.3,Poor,10,,https://www.procyclingstats.com/rider/abel-balderstone-roumens
🇬🇧 J. TARLING,87,Netcompany Ineos,All-rounders,106,201,1,8.2,Poor,16,,https://www.procyclingstats.com/rider/joshua-tarling
🇧🇪 T. BENOOT,52,Decathlon CMA CGM Team,All-rounders,45,268,0,8.1,Poor,11,,https://www.procyclingstats.com/rider/tiesj-benoot
🇳🇱 A. DE KLEIJN,192,Tudor Pro Cycling Team,Sprinters,92,240,0,8.1,Poor,15,,https://www.procyclingstats.com/rider/arvid-de-kleijn
🇫🇷 Q. PACHER,187,Groupama-FDJ United,All-rounders,72,97,0,7.7,Poor,10,,https://www.procyclingstats.com/rider/quentin-pacher
🇩🇪 N. MÄRKL,216,Team Picnic PostNL,All-rounders,40,69,0,7.6,Poor,6,,https://www.procyclingstats.com/rider/niklas-markl
🇫🇷 H. PAGE,167,Cofidis,Sprinters,72,128,0,7.6,Poor,11,,https://www.procyclingstats.com/rider/hugo-page
🇩🇪 J. DEGENKOLB,214,Team Picnic PostNL,Sprinters,73,73,0,7.3,Poor,10,,https://www.procyclingstats.com/rider/john-degenkolb
🇧🇪 E. PLANCKAERT,106,Alpecin-Premier Tech,All-rounders,44,116,0,7.3,Poor,8,,https://www.procyclingstats.com/rider/edward-planckaert
🇧🇪 T. VAN ASBROECK,138,NSN Cycling Team,All-rounders,58,95,0,7.3,Poor,9,,https://www.procyclingstats.com/rider/tom-van-asbroeck
🇵🇱 M. KWIATKOWSKI,86,Netcompany Ineos,All-rounders,55,165,2,7.1,Poor,12,,https://www.procyclingstats.com/rider/michal-kwiatkowski
🇳🇱 T. MARSMAN,104,Alpecin-Premier Tech,All-rounders,35,35,0,7.0,Poor,5,,https://www.procyclingstats.com/rider/tim-marsman
🇮🇹 L. GERMANI,185,Groupama-FDJ United,All-rounders,43,106,0,7.0,Poor,8,,https://www.procyclingstats.com/rider/lorenzo-germani
🇧🇪 V. VAN MECHELEN,78,Bahrain Victorious,All-rounders,48,85,0,6.9,Poor,8,,https://www.procyclingstats.com/rider/vlad-van-mechelen
🇮🇹 M. CATTANEO,22,Red Bull - BORA - hansgrohe,All-rounders,63,106,1,6.8,Poor,11,,https://www.procyclingstats.com/rider/mattia-cattaneo
🇬🇧 M. WALKER,48,EF Education - Easypost,All-rounders,37,52,0,6.7,Poor,6,,https://www.procyclingstats.com/rider/max-walker
🇩🇰 K. ASGREEN,42,EF Education - Easypost,All-rounders,65,105,0,6.6,Poor,11,,https://www.procyclingstats.com/rider/kasper-asgreen
🇳🇱 D. VAN BAARLE,95,Soudal Quick-Step,All-rounders,48,137,0,6.6,Poor,10,,https://www.procyclingstats.com/rider/dylan-van-baarle
🇵🇱 K. GRADEK,74,Bahrain Victorious,All-rounders,25,60,0,6.4,Poor,5,,https://www.procyclingstats.com/rider/kamil-gradek
🇸🇮 J. TRATNIK,26,Red Bull - BORA - hansgrohe,All-rounders,47,60,0,6.2,Poor,8,,https://www.procyclingstats.com/rider/jan-tratnik
🇩🇪 M. HEßMANN,145,Movistar Team,All-rounders,44,66,0,6.0,Poor,8,,https://www.procyclingstats.com/rider/michel-hessmann
🇦🇺 R. STANNARD,76,Bahrain Victorious,All-rounders,53,88,0,6.0,Poor,10,,https://www.procyclingstats.com/rider/robert-stannard
🇪🇸 X. AZPARREN IRURZUN,172,Pinarello-Q.36.5 Pro Cycling Team,All-rounders,38,56,0,5.9,Poor,7,,https://www.procyclingstats.com/rider/xabier-mikel-azparren-irurzun
🇧🇪 J. RICKAERT,107,Alpecin-Premier Tech,All-rounders,35,87,0,5.7,Poor,8,,https://www.procyclingstats.com/rider/jonas-rickaert
🇱🇺 A. KIRSCH,166,Cofidis,All-rounders,32,34,1,5.7,Poor,6,,https://www.procyclingstats.com/rider/alex-kirsch
🇨🇭 S. DILLIER,103,Alpecin-Premier Tech,All-rounders,35,70,0,5.2,Poor,8,,https://www.procyclingstats.com/rider/silvan-dillier
🇫🇷 W. BARGUIL,211,Team Picnic PostNL,Climbers,33,128,0,5.2,Poor,10,,https://www.procyclingstats.com/rider/warren-barguil
🇦🇺 L. DURBRIDGE,113,Team Jayco AlUla,All-rounders,30,55,0,5.0,Poor,7,,https://www.procyclingstats.com/rider/luke-durbridge
🇧🇪 B. VAN LERBERGHE,96,Soudal Quick-Step,All-rounders,24,49,0,4.8,Poor,6,,https://www.procyclingstats.com/rider/bert-van-lerberghe
🇮🇹 E. AFFINI,12,Team Visma | Lease a Bike,All-rounders,48,128,1,4.8,Poor,14,,https://www.procyclingstats.com/rider/edoardo-affini
🇨🇿 J. OTRUBA,227,Caja Rural-Seguros RGA,All-rounders,33,58,0,4.8,Poor,8,,https://www.procyclingstats.com/rider/jakub-otruba
🇺🇸 S. QUINN,45,EF Education - Easypost,All-rounders,25,71,0,3.8,Poor,9,,https://www.procyclingstats.com/rider/sean-quinn
🇦🇺 D. HOWSON,175,Pinarello-Q.36.5 Pro Cycling Team,Climbers,15,64,0,3.1,Poor,8,,https://www.procyclingstats.com/rider/damien-howson
🇫🇷 T. GUERNALEC,205,TotalEnergies,All-rounders,10,83,0,2.5,Poor,10,,https://www.procyclingstats.com/rider/thibault-guernalec
🇬🇧 T. STEWART,137,NSN Cycling Team,Sprinters,18,95,0,2.2,Poor,15,,https://www.procyclingstats.com/rider/jake-stewart
🇧🇪 P. ALLEGAERT,162,Cofidis,All-rounders,5,5,0,0.8,Poor,6,,https://www.procyclingstats.com/rider/piet-allegaert
