Rider,Jersey Number,Team,Category,PCS 2026,PCS 12 Months,Wins 2026,Value,Tier,Price,PCS Rank,PCS Link
🇨🇿 P. BITTNER,213,Team Picnic PostNL,Sprinters,248,786,0,27.4,Good,13,,https://www.procyclingstats.com/rider/pavel-bittner
🇧🇪 J. BIERMANS,164,Cofidis,All-rounders,172,264,0,27.2,Good,7,,https://www.procyclingstats.com/rider/jenthe-biermans
🇳🇱 T. VAN DIJKE,27,Red Bull - BORA - hansgrohe,All-rounders,260,309,0,27.0,Average,10,,https://www.procyclingstats.com/rider/tim-van-dijke
🇨🇴 S. HIGUITA GARCIA,61,XDS Astana Team,Climbers,297,544,0,26.6,Average,13,,https://www.procyclingstats.com/rider/sergio-higuita
🇫🇷 C. BRAZ AFONSO,183,Groupama-FDJ United,Climbers,193,239,1,26.5,Average,8,,https://www.procyclingstats.com/rider/clement-braz-afonso
🇳🇱 M. TEUNISSEN,66,XDS Astana Team,Sprinters,203,373,0,26.3,Average,9,,https://www.procyclingstats.com/rider/mike-teunissen
🇫🇷 V. PARET PEINTRE,93,Soudal Quick-Step,Climbers,332,495,0,26.0,Average,14,93.0,https://www.procyclingstats.com/rider/valentin-paret-peintre
🇮🇹 D. CARUSO,73,Bahrain Victorious,Climbers,273,317,0,25.6,Average,11,,https://www.procyclingstats.com/rider/damiano-caruso
🇦🇺 B. O'CONNOR,111,Team Jayco AlUla,Leaders,314,679,0,24.2,Average,16,,https://www.procyclingstats.com/rider/ben-o-connor
🇧🇪 L. SLOCK,155,Lotto Intermarché,All-rounders,202,227,1,24.2,Average,9,,https://www.procyclingstats.com/rider/liam-slock
🇫🇷 J. JEGAT,201,TotalEnergies,Leaders,241,627,1,23.9,Average,14,,https://www.procyclingstats.com/rider/jordan-jegat
🇩🇪 N. POLITT,5,UAE Team Emirates XRG,All-rounders,213,278,1,23.7,Average,10,,https://www.procyclingstats.com/rider/nils-politt
🇺🇸 S. KUSS,17,Team Visma | Lease a Bike,Climbers,268,730,1,23.7,Average,16,,https://www.procyclingstats.com/rider/sepp-kuss
🇬🇧 A. WRIGHT,178,Pinarello-Q.36.5 Pro Cycling Team,All-rounders,200,546,1,23.6,Average,12,,https://www.procyclingstats.com/rider/alfred-wright
🇩🇪 G. STEINHAUSER,46,EF Education - Easypost,All-rounders,288,288,1,23.3,Average,13,,https://www.procyclingstats.com/rider/georg-steinhauser
🇫🇷 N. BREUILLARD,202,TotalEnergies,Climbers,150,191,0,22.6,Average,7,,https://www.procyclingstats.com/rider/nicolas-breuillard
🇪🇸 R. GARCIA PIERNA,144,Movistar Team,All-rounders,186,325,1,22.4,Average,10,,https://www.procyclingstats.com/rider/raul-garcia-pierna
🇧🇪 I. VAN WILDER,97,Soudal Quick-Step,Climbers,232,531,0,22.4,Average,13,,https://www.procyclingstats.com/rider/ilan-van-wilder
🇧🇪 M. FRETIN,165,Cofidis,Sprinters,277,382,1,22.4,Average,14,,https://www.procyclingstats.com/rider/milan-fretin
